Name,NutriRating,Purpose,Subtype,Description,Vegan,Vegetarian
Açaí,1,Fruit,,,TRUE,TRUE
Akee,1,Fruit,,,TRUE,TRUE
Apple,1,Fruit,,,TRUE,TRUE
Apricot,1,Fruit,,,TRUE,TRUE
Avocado,1,Fruit,,,TRUE,TRUE
Banana,1,Fruit,,,TRUE,TRUE
Bilberry,1,Fruit,,,TRUE,TRUE
Blackberry,1,Fruit,,,TRUE,TRUE
Blackcurrant,1,Fruit,,,TRUE,TRUE
Black sapote,1,Fruit,,,TRUE,TRUE
Blueberry,1,Fruit,,,TRUE,TRUE
Boysenberry,1,Fruit,,,TRUE,TRUE
Buddha's hand,1,Fruit,Citrus,,TRUE,TRUE
fingered citron,1,Fruit,Citrus,,TRUE,TRUE
Crab apples,1,Fruit,,,TRUE,TRUE
Currant,1,Fruit,,,TRUE,TRUE
Cherry,1,Fruit,,,TRUE,TRUE
Cherimoya,1,Fruit,,,TRUE,TRUE
Custard Apple,1,Fruit,,,TRUE,TRUE
Chico fruit,1,Fruit,,,TRUE,TRUE
Cloudberry,1,Fruit,,,TRUE,TRUE
Coconut,1,Fruit,,,TRUE,TRUE
Cranberry,1,Fruit,,,TRUE,TRUE
Cucumber,1,Fruit,,,TRUE,TRUE
Damson,1,Fruit,,,TRUE,TRUE
Date,1,Fruit,,,TRUE,TRUE
Dragonfruit,1,Fruit,,,TRUE,TRUE
Pitaya,1,Fruit,,,TRUE,TRUE
Durian,1,Fruit,,,TRUE,TRUE
Elderberry,1,Fruit,,,TRUE,TRUE
Feijoa,1,Fruit,,,TRUE,TRUE
Fig,1,Fruit,,,TRUE,TRUE
Goji berry,1,Fruit,,,TRUE,TRUE
Gooseberry,1,Fruit,,,TRUE,TRUE
Grape,1,Fruit,,,TRUE,TRUE
Raisin,1,Fruit,,,TRUE,TRUE
Grapefruit,1,Fruit,,,TRUE,TRUE
Guava,1,Fruit,,,TRUE,TRUE
Honeyberry,1,Fruit,,,TRUE,TRUE
Huckleberry,1,Fruit,,,TRUE,TRUE
Jabuticaba,1,Fruit,,,TRUE,TRUE
Jackfruit,1,Fruit,,,TRUE,TRUE
Jambul,1,Fruit,,,TRUE,TRUE
Japanese plum,1,Fruit,,,TRUE,TRUE
Jostaberry,1,Fruit,,,TRUE,TRUE
Jujube,1,Fruit,,,TRUE,TRUE
Juniper berry,1,Fruit,,,TRUE,TRUE
Kiwano,1,Fruit,,,TRUE,TRUE
horned melon,1,Fruit,,,TRUE,TRUE
Kiwifruit,1,Fruit,,,TRUE,TRUE
Kumquat,1,Fruit,,,TRUE,TRUE
Lemon,1,Fruit,Citrus,,TRUE,TRUE
Lime,1,Fruit,Citrus,,TRUE,TRUE
Loganberry,1,Fruit,,,TRUE,TRUE
Loquat,1,Fruit,,,TRUE,TRUE
Longan,1,Fruit,,,TRUE,TRUE
Lychee,1,Fruit,,,TRUE,TRUE
Mango,1,Fruit,,,TRUE,TRUE
Mangosteen,1,Fruit,,,TRUE,TRUE
Marionberry,1,Fruit,,,TRUE,TRUE
Melon,1,Fruit,,,TRUE,TRUE
Cantaloupe,1,Fruit,,,TRUE,TRUE
Honeydew,1,Fruit,,,TRUE,TRUE
Watermelon,1,Fruit,,,TRUE,TRUE
Miracle fruit,1,Fruit,,,TRUE,TRUE
Mulberry,1,Fruit,,,TRUE,TRUE
Nectarine,1,Fruit,,,TRUE,TRUE
Nance,1,Fruit,,,TRUE,TRUE
Orange,1,Fruit,Citrus,,TRUE,TRUE
Blood orange,1,Fruit,Citrus,,TRUE,TRUE
Clementine,1,Fruit,Citrus,,TRUE,TRUE
Mandarine,1,Fruit,Citrus,,TRUE,TRUE
Tangerine,1,Fruit,Citrus,,TRUE,TRUE
Papaya,1,Fruit,,,TRUE,TRUE
Passionfruit,1,Fruit,,,TRUE,TRUE
Peach,1,Fruit,,,TRUE,TRUE
Pear,1,Fruit,,,TRUE,TRUE
Asian pear,1,Fruit,,,TRUE,TRUE
Persimmon,1,Fruit,,,TRUE,TRUE
Plantain,1,Fruit,,,TRUE,TRUE
Plum,1,Fruit,,,TRUE,TRUE
Prune,1,Fruit,,,TRUE,TRUE
Pineapple,1,Fruit,,,TRUE,TRUE
Pineberry,1,Fruit,,,TRUE,TRUE
Plumcot,1,Fruit,,,TRUE,TRUE
Pluot,1,Fruit,,,TRUE,TRUE
